title,n_enrolled_normalised,ratings_normalised,"ratio(n_rating,n_enrolled)",id
Meta React Native,0.0047641115346457,0.0086956521739132,0.0767228387450335,71
IBM Project Manager,0.0016363375280664,0.0521739130434783,0.0813721579577183,72
Finance & Quantitative Modeling for Analysts,0.01236847945277,-0.0782608695652172,0.0684450777065358,73
Introduction to Finance and Accounting,0.0205309122239047,-0.0347826086956522,0.0327928787156254,74
IT Fundamentals for Cybersecurity,0.0182715654535011,-0.0347826086956522,0.0929144265633093,75
Prompt Engineering for ChatGPT,0.0822927001200981,0.0521739130434783,0.0100294259948127,76
Meta Android Developer,0.0095954519346248,-0.0347826086956522,0.0566288007618529,77
Business and Financial Modeling,0.0280494491149287,-0.0782608695652172,0.0902173407176432,78
Meta iOS Developer,0.0090791603571615,-0.0347826086956522,0.0481308411214953,79
DeepLearning.AI TensorFlow Developer,0.0647825178841836,0.0086956521739132,0.1066275742554306,80
Natural Language Processing,0.0404691661009868,-0.0347826086956522,0.0432244121157382,81
Foundations of User Experience (UX) Design,0.3890159130071536,0.0521739130434783,0.0535324037526625,82
Project Initiation: Starting a Successful Project,0.2099306172001462,0.0521739130434783,0.0301370672246568,83
Play It Safe: Manage Security Risks,0.0871889849094042,0.0521739130434783,0.0212867896137535,84
Ask Questions to Make Data-Driven Decisions,0.3187278079473656,0.0086956521739132,0.0311570467104838,85
Meta Back-End Developer,0.0257927131742467,0.0086956521739132,0.0604557589867523,86
HRCI Human Resource Associate,0.0124686700433397,0.0521739130434783,0.0199445113332984,87
Google Business Intelligence,0.0203168241867265,0.0086956521739132,0.0194043756224499,88
Financial Markets,0.0,0.0521739130434783,0.0,89
Análisis de Datos de Google,0.0324353166936452,0.0521739130434783,0.0792357149325364,90
Microsoft 365 Fundamentals,0.0302715915617983,0.0086956521739132,0.0254428237221988,91
SAP Technology Consultant,0.0130518641324212,0.0086956521739132,0.0135273672892756,92
Workday Basics Series,0.0,0.0521739130434783,0.0,93
Meta Database Engineer,0.0156316902511618,-0.0347826086956522,0.0346987348114743,94
Arizona State University TESOL,0.0199131246410109,0.0956521739130437,0.0980218627595588,95
IBM Product Manager,0.0017760169181765,0.0521739130434783,0.0169055494303564,96
IBM Machine Learning,0.0103796799122761,-0.0347826086956522,0.0491117748781638,97
Microsoft Cybersecurity Analyst,0.0183645762623361,0.0086956521739132,0.0176464316178561,98
Neural Networks and Deep Learning,0.4242849590099734,0.0956521739130437,0.0929914151238734,99
Advanced Learning Algorithms,0.0747578455433136,0.0956521739130437,0.0220151045531933,100
Business Analytics,0.0598163933998224,-0.0347826086956522,0.0887460649145875,101
"JavaScript Programming with React, Node & MongoDB",0.0,-0.1217391304347823,0.0,102
Gestión de Proyectos de Google,0.0258994308391206,0.0956521739130437,0.0868447580645161,103
IBM Introduction to Machine Learning,0.0030305205994465,-0.0347826086956522,0.0332758992031014,104
Become a CBRS Certified Professional Installer by Google,0.0,-0.0347826086956522,0.0,105
Ciberseguridad de Google,0.0077039058012636,0.0956521739130437,0.0975175802762009,106
"Python for Data Science, AI & Development",0.2629800663150749,-0.0347826086956522,0.0438600518978969,107
Indigenous Canada,0.0,0.0521739130434783,0.0,108
The Bits and Bytes of Computer Networking,0.2448113022818651,0.0086956521739132,0.0635067274019151,109
Connect and Protect: Networks and Network Security,0.063948357788105,0.0521739130434783,0.0174995406944699,110
Graphic Design,0.1201200328964545,0.0086956521739132,0.0441115340413566,111
Google Marketing Digital e E-Commerce,0.0113580883504777,0.0521739130434783,0.0497945579404074,112
Introduction to Psychology,0.0,0.0956521739130437,0.0,113
Prepare Data for Exploration,0.2387799592710563,0.0521739130434783,0.0260038815843424,114
Excel Skills for Business,0.1734609158790663,0.0956521739130437,0.0847375035747076,115
"TESOL Certificate, Part 1: Teach English Now!",0.0259519737872695,0.0956521739130437,0.1219552068007193,116
Preparing for Google Cloud Certification: Cloud Engineer,0.0165882329904443,0.0086956521739132,0.1881209545731767,117
Preparing for Google Cloud Certification: Cloud Architect,0.0176485562111639,0.0086956521739132,0.1993416916306076,118
What is Data Science?,0.3094345595530259,0.0086956521739132,0.0718446417629147,119
Project Planning: Putting It All Together,0.1349740222442692,0.0521739130434783,0.0281298509122737,120
Construction Management,0.0205393974205002,0.0086956521739132,0.1217109444515062,121
AI Product Management,0.0090370607278993,-0.0347826086956522,0.0154923982521396,122
AWS Cloud Solutions Architect,0.016414286460237,0.0521739130434783,0.0210155877206934,123
Digital Product Management,0.0192607435643047,0.0086956521739132,0.0482056321800128,124
Introduction to Statistics,0.0,-0.0347826086956522,0.0,125
Learn SQL Basics for Data Science,0.08012701686596,-0.0347826086956522,0.0403385440001303,126
Attract and Engage Customers with Digital Marketing,0.0806155683776304,0.0521739130434783,0.0200187030147478,127
AWS Cloud Technology Consultant,0.0041521983186256,0.0521739130434783,0.0234221488642615,128
Leading the Modern Day Business,0.0152906506187666,0.0086956521739132,0.0625360169039335,129
Diseño de Experiencia del Usuario (UX) de Google,0.0180861965432614,0.0521739130434783,0.0662408199354012,130
Introduction to Data Analytics,0.1594159573912589,0.0521739130434783,0.0297988028070979,131
Introduction to Generative AI,0.0,-0.0347826086956522,0.0,132
Architecting with Google Compute Engine,0.0275285885854524,0.0086956521739132,0.3172064681335356,133
Data Analysis and Presentation Skills: the PwC Approach,0.051336744817503,-0.0347826086956522,0.062528607028429,134
AWS Fundamentals,0.0110568638713383,0.0521739130434783,0.3432703659976387,135
Agile Project Management,0.1446869615163699,0.0521739130434783,0.0258963694106607,136
Medical Billing and Coding Fundamentals,0.0044090386924964,0.0521739130434783,0.0292376017764618,137
Entrepreneurship,0.0207312934050441,0.0521739130434783,0.077545494616208,138
"Start the UX Design Process: Empathize, Define, and Ideate",0.1537834186204375,0.0521739130434783,0.0306334448884484,139
Google Cloud Database Engineer,0.0016911649522218,0.0086956521739132,0.0434195291393284,140
Introduction to Artificial Intelligence (AI),0.1087691243277113,0.0086956521739132,0.0380273998907844,141
The Materiality of ESG Factors,0.0053287034619602,0.0086956521739132,0.0603258206761391,142
Architecting with Google Kubernetes Engine,0.0183724087515012,0.0086956521739132,0.1188361517692198,143
Preparing for Google Cloud Certification: Cloud Security Engineer,0.0035703096444049,0.0086956521739132,0.1296160877513711,144
Tableau Business Intelligence Analyst,0.0056903033784136,0.0086956521739132,0.0177219545767377,145
Modern Project Management Certificate,0.0005038901362853,-0.0347826086956522,0.0181347150259067,146
Search Engine Optimization (SEO),0.0569487233042661,-0.0347826086956522,0.0626246418338108,147
Writing in the Sciences,0.0,0.0956521739130437,0.0,148
The Science of Well-Being,0.0,0.0956521739130437,0.0,149
Connected Leadership,0.0,0.0521739130434783,0.0,150
Linear Algebra for Machine Learning and Data Science,0.0315897342175343,-0.0782608695652172,0.0130687218480102,151
DevOps on AWS,0.0111518328024646,0.0521739130434783,0.0351174972930262,152
Preparing for Google Cloud Certification: Cloud Network Engineer,0.0048502689154613,0.0086956521739132,0.0647288386489032,153
Preparing for Google Cloud Certification: Cloud Developer,0.0028183906845595,0.0086956521739132,0.0343909217230199,154
Tools of the Trade: Linux and SQL,0.0522554305258211,0.0521739130434783,0.0181115295498972,155
Networking in Google Cloud,0.0128387551563887,0.0086956521739132,0.1128876461616675,156
Preparing for Google Cloud Certification: Cloud DevOps Engineer,0.0115819669991123,0.0086956521739132,0.0689791202907943,157
Process Data from Dirty to Clean,0.2012202365411728,0.0521739130434783,0.0238464021175176,158
Business Strategy,0.0213477755730771,0.0521739130434783,0.0405118248666167,159
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,0.0,0.0956521739130437,0.0,160
Supply Chain Management,0.0573772257323377,0.0086956521739132,0.0677822459090056,161
Fundamentals of Project Planning and Management,0.0,0.0086956521739132,0.0,162
Crash Course on Python,0.3413402041668842,0.0521739130434783,0.0343582354690268,163
Developing Applications with Google Cloud,0.0257571406192888,0.0086956521739132,0.1023009477471998,164
Security in Google Cloud,0.0073553600334186,0.0086956521739132,0.172464282545035,165
